SKU,商品,商品规格,商品数量(件)
1001_AuswayQ10,Ausway天然辅酶Q10 150毫克 60粒,,5
1001_AUSWAY061,AUSWAY进口鹿血胎盘素 60000 100s女红润调理养颜滋补卵巢保养,,5
1001_AUSWAY035,"Ausway纯天然羊胎素华胶囊 35000mg 100粒",,2
1001_AUSWAY062,Ausway澳洲鹿茸胶囊 提高免疫力 改善睡眠 100粒,,1
1001_AUSWAY014,AUSWAY袋鼠精30000 益气强精 温和补肾 100粒,,1
1001_Rifold051,Rifold 男士复合能量补充剂大力丸 60粒,,1
1001_Rifold052,Rifold 澳洲长寿丸 NAD+ 提高免疫 延缓衰老 修复DNA,,2
1001_AUSWAY007,Ausway深海鱼油（金瓶）1000毫克365粒,,2
1001_AUSWAY018,Ausway纯净海域角鲨烯含鲨鱼肝油1000毫克365粒,,1
1001_AUSWAY010,Ausway深海野生三文鱼油365粒,,1
1001_Rifold002,RIFOLD 黑蜂胶软胶囊 提高免疫力 抗菌消炎 改善糖尿病 2000mg 365粒,,1
1001_AUSWAY026,AUSWAY 蜂王浆 增强免疫 调节三高 预防癌症 1200毫克365粒,,1
1001_AUSWAY029,Ausway纯天然蜂王浆胶囊 调节三高保护肝脏抗衰老 1600mg 365粒,,1
1001_AUSWAY041,AUSWAY 螺旋藻 抗辐射 提高机体免疫力 1000毫克500粒,,1
1001_AUSWAY060,VC片 增强免疫力 1200mg 150粒,,1
1001_AUSWAY004,AUSWAY牛初乳粉450克+DHA,,1
1001_Rifold002,Rifold 牛初乳 1000毫克365粒 带外盒,,3
1001_Rifold043,Rifold儿童钙镁锌咀嚼片60粒,,3
,,,
1001_IRIS821,Iris高级爆水羊胎盘素面霜 绵羊油 靓白补水保湿素颜霜,金色靓白,9
1001_IRIS820,Iris高级爆水羊胎盘素面霜 绵羊油 靓白补水保湿素颜霜,蓝色爆水,10
1001_IRIS806,IRIS澳洲原装进口神奇金箔抗皱驻颜抗老修护羊胎盘素精华霜,,3
1001_IRIS801,IRIS自然草本精华羊胎盘素绵羊油,,2
1001_IRIS802,IRIS澳洲抗皱羊胎盘素男女儿童通用防冻不油腻羊脂深度滋润素面霜,,2
